10|07/31/2016|54
5|07/22/2002|198
10|01/21/2009|146
5|08/14/2004|83
7|10/21/2013|44
6|05/01/2009|166
4|05/21/2006|135
3|09/24/2010|137
5|07/19/2014|19
2|12/01/2014|65
6|06/20/2015|12
4|08/20/2002|38
2|06/19/2014|198
2|06/28/2011|78
5|10/25/2004|189
1|11/14/2013|33
6|04/30/2006|173
5|09/30/2011|182
5|08/16/2008|73
2|05/24/2007|86
4|08/09/2019|93
10|12/21/2003|153
1|01/06/2013|128
9|06/08/2017|44
7|01/10/2017|63
10|08/23/2001|188
10|12/18/2002|172
10|11/30/2010|83
5|03/10/2014|33
4|07/09/2006|25
4|04/04/2010|18
10|01/25/2013|159
7|04/21/2004|99
5|04/23/2010|83
5|10/07/2013|28
1|01/19/2017|85
10|03/31/2014|198
7|07/28/2012|122
8|03/05/2005|163
10|03/27/2017|67
5|02/15/2010|131
1|12/01/2018|181
7|08/27/2006|153
10|10/09/2005|180
1|10/14/2015|70
7|03/02/2008|14
1|03/10/2006|109
9|04/18/2006|30
9|03/04/2011|98
5|01/02/2011|154
9|11/23/2003|73
4|04/27/2010|100
1|05/13/2006|156
2|02/10/2018|175
5|11/20/2011|93
3|10/15/2019|155
10|03/12/2003|51
3|04/13/2003|154
6|09/04/2001|166
9|05/19/2008|70
5|04/08/2007|154
6|03/13/2009|143
2|05/27/2001|147
7|07/29/2016|101
2|04/19/2019|162
9|01/22/2019|82
3|03/13/2013|142
10|11/03/2001|74
8|12/25/2006|146
2|07/14/2019|38
10|08/28/2014|194
2|03/27/2001|199
1|02/20/2008|168
9|12/20/2008|179
1|03/10/2009|13
7|08/23/2005|166
7|04/21/2012|53
8|08/28/2009|10
8|11/17/2013|23
4|04/28/2003|127
7|03/07/2014|38
6|03/05/2019|126
6|01/05/2015|77
9|09/28/2002|41
8|03/21/2008|185
3|09/05/2016|123
5|05/10/2018|114
6|06/01/2009|27
5|07/07/2011|32
6|12/17/2008|10
3|12/04/2010|158
5|01/28/2006|85
6|03/19/2008|94
3|01/16/2001|15
10|05/23/2012|105
6|11/18/2013|163
8|09/21/2004|28
2|07/22/2007|77
4|07/02/2011|32
6|08/23/2011|34
7|11/04/2003|84
10|02/09/2010|69
6|01/24/2012|38
6|03/24/2008|120
1|03/06/2011|13
7|06/11/2007|198
8|11/05/2007|142
2|09/19/2009|77
9|03/05/2015|168
5|11/24/2008|156
8|03/04/2009|187
5|06/14/2013|73
5|04/06/2013|45
10|06/25/2018|61
3|11/05/2000|24
4|06/19/2016|109
1|07/09/2004|84
3|12/23/2010|181
3|03/24/2019|147
5|08/09/2010|69
3|01/09/2019|158
10|02/22/2004|131
3|09/13/2002|94
6|09/03/2006|96
3|05/09/2016|163
9|03/16/2012|26
1|01/12/2017|142
1|10/09/2002|103
4|03/03/2019|196
10|11/28/2003|20
5|01/06/2002|34
2|05/19/2012|130
3|10/14/2008|177
3|06/14/2019|168
8|10/18/2016|164
10|05/17/2001|63
1|01/18/2005|15
8|03/01/2011|50
3|08/05/2005|180
10|09/05/2003|124
6|07/30/2005|84
7|08/26/2003|200
2|05/29/2002|36
3|04/10/2007|70
3|12/09/2013|81
2|02/23/2003|180
3|07/24/2014|146
7|10/03/2017|172
8|05/26/2008|59
4|04/08/2019|44
6|04/09/2006|193
10|10/03/2009|133
10|07/03/2008|197
6|11/12/2000|169
6|07/15/2014|22
2|09/24/2010|168
10|07/08/2007|40
10|11/08/2004|17
8|04/26/2001|163
8|08/29/2016|73
8|02/22/2005|197
3|05/22/2005|25
3|01/09/2007|74
9|08/28/2009|81
7|01/16/2014|103
9|01/09/2019|29
9|05/28/2003|127
6|01/20/2013|107
8|09/05/2015|27
6|06/23/2001|159
8|12/08/2000|134
7|10/04/2010|158
3|12/25/2010|114
10|01/15/2001|89
6|12/18/2001|56
5|04/19/2009|25
5|11/26/2006|42
7|05/23/2015|52
10|11/11/2010|118
1|06/05/2005|24
8|02/22/2006|132
3|05/02/2003|50
7|12/02/2009|145
4|12/02/2008|170
5|09/13/2016|158
3|01/01/2011|92
7|02/11/2002|31
3|03/03/2003|53
6|02/24/2003|58
9|09/29/2002|129
7|03/26/2011|35
10|06/30/2009|103
6|04/03/2015|142
1|11/19/2012|24
3|02/10/2007|153
4|01/01/2006|126
7|02/08/2002|18
9|10/29/2001|133
8|05/20/2007|70
7|01/16/2015|176
